,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,Hour,Active Power (MW) - Simulated,Actual Active Power (MW) Adjusted by Error Percentage.,Capacity Factor,,,,
Hour 1,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,,,,
Hour 2,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,,,,
Hour 3,0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,0,0,,,,
Hour 4,0,0,0,0,0,0,0,0,0,0,0,0,,,4,0,0,0,,,,
Hour 5,0,0,0,0,0,0,0,0,0,0,0,0,,,5,0,0,0,,,,
Hour 6,0,0,0,0,0,0,0,0,0,0,0,0,,,6,0,0,0,,,,
Hour 7,9.5662543269765,7.2910368067707,6.6291554079849,9.5455714867227,13.8271160435397,12.4102770747522,11.9138651781444,10.6935216669525,12.0586518400686,11.9655739738158,10.2901876365975,9.607621702521,,,7,11.545,8.4751845,16.950369,,,Month,Capacity Factor (%) (Real Energy Output/Nominal Energy Output)
Hour 8,21.112876591716,16.0914350659608,14.6306522126856,21.0672292318488,30.5166666772968,27.3896803693968,26.2940913589536,23.60077367466,26.6136378419184,26.4082134995952,22.71060900654,21.204175052424,,,8,25.48,18.704868,37.409736,,,January,56.4368517388651
Hour 9,30.2258835287526,23.0370238750439,20.9457194432632,30.1605332778407,43.6886564778035,39.2119607737385,37.643479772053,33.787638230151,38.1009529512362,37.8068607550327,32.513249424669,30.3565893862764,,,9,36.478,26.7784998,53.5569996,,,February,43.0140329469188
Hour 10,36.5564320829406,27.8619282668783,25.332618301384,36.4773947900591,52.8388657954859,47.4245650917209,45.5275793788978,40.864165344531,46.0808663386874,45.7251790885063,39.322866881889,36.7145131461084,,,10,44.118,32.3870238,64.7740476,,,March,39.1092129347162
Hour 11,40.3025590480563,30.7170843867059,27.9285829267196,40.2154223943443,58.2535380893658,52.2844059453332,50.1930262797545,45.0517280518755,50.8030114204501,50.4108750552124,43.3524847515345,40.4768394966582,,,11,48.639,35.7058899,71.4117798,,,April,56.3148261134838
Hour 12,41.6821877578368,31.7685851474918,28.8846282930509,41.5920682605542,60.2476609315046,54.0741947135846,51.9112233799373,46.593929314368,52.5420894034483,52.136529508777,44.836517875392,41.8624341380352,,,12,50.304,36.9281664,73.8563328,,,May,81.5741305674191
Hour 13,40.7939223062544,31.0915828558627,28.269084369503,40.7057232944419,58.9637572157251,52.9218502333651,50.8049727544742,45.600992525544,51.4223947501306,51.0254775122477,43.881032284536,40.9703275581216,,,13,49.232,36.1412112,72.2824224,,,June,73.215375228798
Hour 14,37.5681598034463,28.6330288247879,26.0337182366936,37.4869350919463,54.3012225463877,48.7370768551052,46.7875905856985,41.9951129370255,47.3561901928861,46.9906590211204,40.4111578393845,37.7306158831182,,,14,45.339,33.2833599,66.5667198,,,July,70.2867602196461
Hour 15,31.8085206672996,24.2432499730025,22.0424441577934,31.7397486558953,45.9762088072241,41.2651118532341,39.6145046737642,35.556770008746,40.095931298099,39.7864403384011,34.215653788974,31.9460703262344,,0.2404,15,38.388,28.1806308,56.3612616,,,August,63.0872483221476
Hour 16,23.2879668999285,17.7492065356683,16.1379309433881,23.2376168587563,33.6605540410293,30.2114194184418,29.0029606610436,26.0321720614725,29.3554274547534,29.1288398903502,25.0503008684775,23.388671108649,,,16,28.105,20.6318805,41.263761,,,September,71.1409395973154
Hour 17,12.031356676284,9.1698444724392,8.3374046361144,12.0053441305512,17.3901883891032,15.6082479970032,14.9839170538464,13.44910650534,15.1660134012816,15.0489505500048,12.94183841346,12.083383899576,,,17,14.52,10.659132,21.318264,,,October,70.5918242830994
Hour 18,0.729173131896,0.5557481498448,0.5052972506736,0.7275966139728,1.0539508114608,0.9459544240608,0.9081161850816,0.81509736396,0.9191523273504,0.9120576090912,0.78435384324,0.732326296944,,,18,0.88,0.646008,1.292016,,,November,60.7077486272117
Hour 19,0.0008286058317,0.00063153198846,0.00057420142122,0.00082681433406,0.00119767137666,0.00107494820916,0.00103195021032,0.0009262470045,0.00104449128108,0.00103642910124,0.0008913111855,0.0008321889738,,,19,0.001,0.0007341,0.0014682,,,December,56.6809029896278
Hour 20,0,0,0,0,0,0,0,0,0,0,0,0,,,20,0,0,0,,,,
Hour 21,0,0,0,0,0,0,0,0,0,0,0,0,,,21,0,0,0,,,,
Hour 22,0,0,0,0,0,0,0,0,0,0,0,0,,,22,0,0,0,,,,
Hour 23,0,0,0,0,0,0,0,0,0,0,0,0,,,23,0,0,0,,,,
Hour 24,0,0,0,0,0,0,0,0,0,0,0,0,,,24,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,
Monthly Capacity Factors,56.4368517388651,43.0140329469188,39.1092129347162,56.3148261134838,81.5741305674191,73.215375228798,70.2867602196461,63.0872483221476,71.1409395973154,70.5918242830994,60.7077486272117,56.6809029896278,,,,,,,,,,
